	,

2960,6 GRAIN CEREAL ORG

2285,7 BEAN BARLEY SOUP ORG

2959,7 GRAIN CEREAL

2955,12 GRAIN CEREAL ORG

2008,13 BEAN SOUP MIX

2165,32 BEAN & 8 VEGGIE SOUP MIX

6435,AGAR AGAR PWD

2001,AGAVE SYRUP ORG

6530,ALFALFA SEED ORG

5385,ALMOND BUTTER CRUNCHY R ORG

7772,ALMOND BUTTER FRESH GROUND

5415,ALMOND BUTTER HAZELNUT R ORG

5352,ALMOND BUTTER CREAMY R ORG

5390,ALMOND BUTTER CRUNCHY R 

5371,ALMOND BUTTER MAPLE ORG

5370,ALMOND BUTTER RAW ORG

5231,ALMOND CHEEZY V

2840,ALMOND CHILI CHOCO SPROUTED

5327,ALMOND DRY R/S

4375,ALMOND EXTRACT

5120,ALMOND RAW ORG

5115,ALMOND R/S ORG

5132,ALMOND R/U ORG

3486,ALMOND SLICED ORG

2664,ALMOND SLICED HONEY GLAZED ORG

5140,ALMOND TAMARI R ORG

3940,AMARANTH GRAIN ORG

5325,ANIMAL COOKIE

2115,APRICOT KERNELS ORG

2288,REFRIED PINTO INSTANT

2237,RED NIGHT FALL

2100,RIO ZAPE

2100,SANTA MARIA PINQUINTO

2100,SCARLET RUNNER

2630,SNOWCAP

2310,SOY ORG

2315,SOY BLACK ORG

2217,STUBEN YELLOW EYE

2630,SUNSET RUNNER

2525,TIGER EYE

2106,VAQUERO

2316,WHITE RUNNER

2636,YELLOW MOUNTAIN

2349,BEE POLLEN   CALIFORNIA BEE

2351,BEE POLLEN   POLLEN MAN

2340,BEE POLLEN   MOONSHINE

2280,BEETS MARINATED

5350,BISCOTTI SAVORY

5360,BISCOTTI TURKISH COFFEE MINI

2007,BLACK BEAN SALAD

4335,BRAGGS LIQUID AMINOS

5150,BRAZIL NUT RAW ORG

3005,BREADCRUMBS PANKO

6585,BROCCOLI SEED ORG

6865,BROWN RICE SYRUP ORG

6810,BROWN SUGAR CANE

6825,BROWN SUGAR ORG

3015,BUCKWHEAT CREAMY ORG

COV=COVERED IN · FT=FAIR TRADE · GF=GLUTEN FREE · ORG=ORGANIC · PWD=POWDER · R=ROASTED · S=SALTED · U=UNSALTED ·V=VEGAN · WF=WHEAT FREE,

2815,COCONUT CHEWS DARK

2778,DISCS MILK ORG

2095,EARTHBALLS

2025,EASTER BUNNY 

2925,EASTER EGGS DARK

2025,EASTER EGGS MILK 

2791,ESPRESSO BEANS COV DARK ORG

2021,GHOST AND GOBLINS

2705,GOJI BERRY COV

2925,HALLOWEEN BALLS

2021,HALLOWEEN MINI MUNCHKIN

2013,HALLOWEEN MINI V

2700,HOT CHOCOLATE PISTOLES 

2910,MALT BALLS

2782,MILK CHOCOLATE

2793,NUT MIX R COV V

2860,PECAN CARAMEL MILK ORG

2794,PRETZEL COV V

2012,PUMPKIN V

2915,RAINBOW DROPS MILK

2930,RAISIN COV DARK ORG

2799,SCARY MINIS V

2775,UNSWEETENED

2853,WHITE CHUNKS ORG

2011,WITCH VEGAN

